,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
99,AL091988,HELENE,19880921,1200.0,,HU,12.1N,38.8W,70.0,998.0,,,,,,,,,,,,,1988,9,21,HELENE,1988,9,0,0
100,AL111988,JOAN,19881022,1000.0,L,HU,11.9N,83.7W,125.0,932.0,,,,,,,,,,,,,1988,10,22,JOAN,1988,10,0,0
101,AL041989,CHANTAL,19890801,1300.0,L,HU,29.6N,94.4W,70.0,986.0,,,,,,,,,,,,,1989,8,1,CHANTAL,1989,8,2,1
102,AL051989,DEAN,19890802,1200.0,,HU,17.3N,58.1W,65.0,994.0,,,,,,,,,,,,,1989,8,2,DEAN,1989,8,0,1
103,AL071989,ERIN,19890822,1200.0,,HU,28.8N,44.5W,65.0,986.0,,,,,,,,,,,,,1989,8,22,ERIN,1989,8,0,0
104,AL081989,FELIX,19890905,600.0,,HU,36.0N,48.7W,65.0,988.0,,,,,,,,,,,,,1989,9,5,FELIX,1989,9,0,0
105,AL101989,GABRIELLE,19890901,0.0,,HU,11.5N,31.7W,65.0,987.0,,,,,,,,,,,,,1989,9,1,GABRIELLE,1989,9,4,1
106,AL111989,HUGO,19890917,500.0,L,HU,16.3N,61.3W,120.0,941.0,,,,,,,,,,,,,1989,9,17,HUGO,1989,9,23,1
107,AL141989,JERRY,19891016,30.0,L,HU,29.2N,95.0W,75.0,983.0,,,,,,,,,,,,,1989,10,16,JERRY,1989,10,3,1
108,AL031990,BERTHA,19900729,0.0,,HU,30.2N,73.6W,65.0,990.0,,,,,,,,,,,,,1990,7,29,BERTHA,1990,7,0,1
109,AL051990,DIANA,19900807,1900.0,L,HU,20.9N,97.0W,85.0,980.0,,,,,,,,,,,,,1990,8,7,DIANA,1990,8,0,0
110,AL081990,GUSTAV,19900826,1200.0,,HU,14.5N,55.5W,65.0,990.0,,,,,,,,,,,,,1990,8,26,GUSTAV,1990,8,0,0
111,AL101990,ISIDORE,19900907,0.0,,HU,15.9N,36.8W,65.0,994.0,,,,,,,,,,,,,1990,9,7,ISIDORE,1990,9,0,0
112,AL121990,JOSEPHINE,19901005,0.0,,HU,30.0N,41.5W,65.0,987.0,,,,,,,,,,,,,1990,10,5,JOSEPHINE,1990,10,0,0
113,AL131990,KLAUS,19901005,1200.0,,HU,17.2N,61.2W,70.0,985.0,,,,,,,,,,,,,1990,10,5,KLAUS,1990,10,4,1
114,AL141990,LILI,19901011,0.0,,HU,31.2N,55.9W,65.0,987.0,,,,,,,,,,,,,1990,10,11,LILI,1990,10,0,1
115,AL161990,NANA,19901017,1800.0,,HU,22.8N,63.5W,65.0,995.0,,,,,,,,,,,,,1990,10,17,NANA,1990,10,0,0
116,AL031991,BOB,19910819,1720.0,L,HU,41.2N,71.6W,90.0,962.0,,,,,,,,,,,,,1991,8,19,BOB,1991,8,16,1
117,AL061991,CLAUDETTE,19910906,1200.0,,HU,26.2N,58.8W,75.0,979.0,,,,,,,,,,,,,1991,9,6,CLAUDETTE,1991,9,0,0
118,AL111991,GRACE,19911028,0.0,,HU,31.6N,68.1W,65.0,985.0,,,,,,,,,,,,,1991,10,28,GRACE,1991,10,0,1
